metro_id,rel_metro_id,dir,val
35644,35084,in,8.495806
35644,35004,in,4.874184
35644,20764,in,2.519564
35644,47894,in,1.828247
35644,37964,in,1.547316
35644,31084,in,1.472174
35644,14860,in,1.304636
35644,16974,in,1.256993
35644,39100,in,0.9585597
35644,12060,in,0.8389243
31084,42044,in,21.91318
31084,40140,in,3.39631
31084,35644,in,2.92395
31084,16974,in,1.691953
31084,41740,in,1.583849
31084,37100,in,1.536951
31084,38060,in,1.535072
31084,36084,in,1.500628
31084,47894,in,1.204285
31084,42644,in,1.133489
16974,29404,in,2.944749
16974,35644,in,1.989576
16974,26900,in,1.186343
16974,41180,in,1.091426
16974,47894,in,1.003487
16974,42644,in,0.9719777
16974,33460,in,0.92567
16974,44100,in,0.9074333
16974,23844,in,0.9057945
16974,33340,in,0.9048451
26420,19124,in,3.775812
26420,12420,in,2.822453
26420,13140,in,1.482813
26420,31084,in,1.360153
26420,16974,in,1.304536
26420,28660,in,1.25442
26420,41700,in,1.221167
26420,37964,in,1.20498
26420,35644,in,1.189097
26420,12060,in,0.8903394
12060,35644,in,4.508849
12060,47894,in,2.238944
12060,16974,in,2.150988
12060,37964,in,1.705686
12060,45300,in,1.605544
12060,31084,in,1.50799
12060,42644,in,1.392448
12060,35084,in,1.217085
12060,12020,in,1.145618
12060,33124,in,1.059728
38060,46060,in,6.507577
38060,31084,in,4.582636
38060,16974,in,4.367124
38060,42644,in,2.678167
38060,33460,in,2.613593
38060,19740,in,2.490271
38060,22380,in,2.289163
38060,38900,in,1.834091
38060,42044,in,1.595783
38060,35644,in,1.565576
47894,12580,in,5.189604
47894,13644,in,5.061836
47894,35644,in,2.756458
47894,40060,in,2.479805
47894,37964,in,1.963544
47894,19020,in,1.531992
47894,47260,in,1.513221
47894,16974,in,1.239794
47894,18140,in,1.190469
47894,12060,in,1.145529
19124,23104,in,7.130768
19124,26420,in,5.015022
19124,45500,in,2.417409
19124,12420,in,2.217921
19124,16974,in,1.862093
19124,31084,in,1.774239
19124,41700,in,1.699803
19124,35644,in,1.605728
19124,12060,in,1.600192
19124,37964,in,1.5667
37964,35644,in,6.183183
37964,15804,in,4.981441
37964,29540,in,3.961987
37964,20764,in,3.421818
