id,db_name,familiar_name,state,lat,lon
10420,"Akron, OH",Akron,OH,41.0814447,-81.5190053
10460,"Alamogordo, NM",Alamogordo,NM,32.8995325,-105.960265
10580,"Albany-Schenectady-Troy, NY",Albany,NY,42.6525793,-73.7562317
10700,"Albertville, AL",Albertville,AL,34.2675937,-86.2088669
10740,"Albuquerque, NM",Albuquerque,NM,35.0844909,-106.6511367
10880,"Allegan, MI",Allegan,MI,42.5291989,-85.8553031
10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,PA,40.6084305,-75.4901833
11220,"Amsterdam, NY",Amsterdam,NY,42.9386856,-74.1881858
11300,"Anderson, IN",Anderson,IN,40.1053196,-85.6802541
11340,"Anderson, SC",Anderson,SC,34.5034394,-82.6501332
11460,"Ann Arbor, MI",Ann Arbor,MI,42.2808256,-83.7430378
11500,"Anniston-Oxford, AL",Anniston,AL,33.6598257,-85.8316318
11700,"Asheville, NC","Asheville, NC",NC,35.6009452,-82.554015
11780,"Ashtabula, OH","Ashtabula, OH",OH,41.8650534,-80.7898089
11820,"Astoria, OR","Astoria, OR",OR,46.1878841,-123.8312534
11900,"Athens, OH","Athens, OH",OH,39.3292396,-82.1012554
12020,"Athens-Clarke County, GA",Athens,GA,33.955802,-83.3823656
12060,"Atlanta-Sandy Springs-Marietta, GA",Atlanta,GA,33.7489954,-84.3879824
12100,"Atlantic City-Hammonton, NJ",Atlantic City,NJ,39.3642834,-74.4229266
12180,"Auburn, NY",Auburn,NY,42.9317335,-76.5660529
12260,"Augusta-Richmond County, GA-SC",Augusta,GA,33.474246,-82.00967
12420,"Austin-Round Rock-San Marcos, TX",Austin,TX,30.267153,-97.7430608
12540,"Bakersfield-Delano, CA",Bakersfield,CA,35.3732921,-119.0187125
12580,"Baltimore-Towson, MD",Baltimore,MD,39.2903848,-76.6121893
12620,"Bangor, ME",Bangor,ME,44.8011821,-68.7778138
12700,"Barnstable Town, MA",Barnstable Town,MA,41.7014167,-70.3030556
12780,"Bartlesville, OK",Bartlesville,OK,36.7473114,-95.9808179
