lon,lat,name,download
44.78424065,12.82821742,`Adan,1
46.16408479,13.71268054,Abyan,32
45.34696285,14.31609972,Al Bayda',15
44.75862655,13.89874629,Al Dali',
43.1640638,14.8321507,Al Hudaydah,
45.59953075,16.6215381,Al Jawf,4
51.57673641,16.73315083,Al Mahrah,
43.5422841,15.37430279,Al Mahwit,
44.2377754,15.46264914,Amanat Al Asimah,
43.90771285,16.17323352,Amran,
44.20069588,14.59862086,Dhamar,1
49.25856441,16.57752351,Hadramawt,17
43.27092062,16.08954053,Hajjah,
44.16673356,14.07580174,Ibb,
44.55294763,13.18003471,Lahij,2
45.51577786,15.49322149,Ma'rib,14
43.67055664,14.66037215,Raymah,
43.90531197,17.09442983,Sa`dah,2
44.34128367,15.33486782,San`a',3
46.88569053,14.77414523,Shabwah,18
43.77755675,13.4187157,Ta`izz,
