origin,destination,count
South Africa,Algeria,100
Israel,Angola,100
United States of America,Australia,100
Israel,Australia,100
Israel,Azerbaijan,100
Russia,Belarus,100
Israel,Brazil,100
Israel,Botswana,100
United States of America,Burundi,100
Israel,Canada,100
France,Canada,100
Israel,Chile,100
Israel,China,100
Japan,China,100
United States of America,Colombia,100
Israel,Colombia,100
Israel,Croatia,100
France,Denmark,100
United States of America,Denmark,100
Israel,Ecuador,100
United States of America,Egypt,100
United States of America,Estonia,100
Israel,Ethiopia,100
Israel,Finland,100
Israel,France,100
Canada,France,100
United States of America,France,100
Israel,Germany,100
United States of America,Germany,100
France,Greece,100
Israel,India,100
Israel,Indonesia,100
United States of America,Iraq,100
United States of America,Italy,100
Israel,Ivory Coast,100
Israel,Kazakhstan,100
Russia,Kazakhstan,100
United States of America,Lebanon,100
Israel,Mexico,100
France,Netherlands,100
United States of America,Netherlands,100
United States of America,New Zealand,100
Israel,Nigeria,100
China,Pakistan,100
United States of America,Pakistan,100
Israel,Philippines,100
United States of America,Poland,100
United States of America,Romania,100
Israel,Singapore,100
Israel,Slovakia,100
Israel,South Korea,100
United States of America,South Korea,100
Israel,Spain,100
Israel,Sri Lanka,100
Germany,Thailand,100
Israel,Thailand,100
Israel,Turkey,100
United States of America,Uganda,100
Israel,Ukraine,100
United States of America,United Kingdom,100
United States of America,United Kingdom,100
