name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_from,exports_to,lat,lon,desc
Algeria,12,DZA,0,0,1,1,"South Africa, Israel",none,28.15846284,2.617789268,"Algeria has domestic drone production, and imports the medium-range Seeker II tactical drones from South Africa in 1998. Reports suggest Algeria operates Denel Dynamecs Seeker drones and is interested in obtaining Adcom Systems Yabhon United 40 Block 5 drones. Algeria has possibly purchased military drones equipment from Israel, although what exactly was purchased is unknown. In 2009 Israel requested export processing permits to Algeria to supply components for drones. Algeria is reportedly in discussions with China to purchase the Xianglong High Altitude Long Endurance unmanned aerial vehicle. Reports indicate that Angola imported Heron drones from Israel. The company Aeronautics reports selling its Aerostar Tactical Unmanned Air Vehicle System to Angola. "
Angola,24,AGO,0,0,1,0,Israel,none,-12.5,18.5,
Argentina,32,ARG,0,0,1,1,none,none,-36.24315531,-63.97394506,"Argentina has domestic drone production.  It is possible that there is cooperation between Israel and Argentina, but reports are unconfirmed., "
Armenia,51,ARM,0,0,1,1,none,Denmark,40.1,44.31,Armenia has domestic production of their Krunk drones which is a close reconnaissance drone.   Armenia has also agreed to export their Krunk drones to Denmark.
Australia,36,AUS,0,0,1,1,"United States of America, Israel",none,-25.73236473,134.4925719,Australia has domestic drone production and has also imported drones from the United States and Israel. Plans moving forward include purchasing the Northrop Grumman MQ-4C Triton drones.
Austria,40,AUT,0,0,1,1,none,none,47.64759339,14.5968219,"Austria has domestic drone production. Reported plans include importing more drones, though it is unclear form where, and there are recent purchases of Cassidian Tracker mini drones from a U.K. based company."
Azerbaijan,31,AZE,0,0,1,1,Israel,none,40.28904383,47.54239385,Azerbaijan has imported drones from Israel   and begun domestic production in partnership with Israeli firms. Shipments of drones from Israel continued through 2013.
Belarus,112,BLR,0,0,1,0,Russia,Vietnam,53,28,"Belarus has imported drones from Russia. Belarus President Alexander Lukashenko announced plans to begin production of drones in Turkmenistan,  and plans to export drones to Vietnam."
Belgium,56,BEL,0,0,1,1,none,none,50.71020346,4.502282528,"Belgium has domestic production of drones and is cooperating with a British company, an Israeli company, and a French company for production. "
Botswana,72,BWA,0,0,1,0,Israel,none,-22.48287928,24.22402421,There are reports of domestic production but Botswana has also imported drones from Israel. There are reports of requests from Botswana to purchase drones from the U.S.
