origin,destination,count
Armenia,Denmark,100
Belarus,Vietnam,100
Canada,France,100
China,Pakistan,100
Denmark,Netherlands,100
Estonia,Georgia,100
France,Canada,100
France,Denmark,100
France,Greece,100
France,Netherlands,100
Germany,Thailand,100
Iran,Venezuela,100
Israel,Algeria,100
Israel,Angola,100
Israel,Australia,100
Israel,Azerbaijan,100
Israel,Botswana,100
Israel,Brazil,100
Israel,Canada,100
Israel,Chile,100
Israel,China,100
Israel,Colombia,100
Israel,Croatia,100
Israel,Ecuador,100
Israel,Ethiopia,100
Israel,Finland,100
Israel,France,100
Israel,Georgia,100
Israel,Germany,100
Israel,Hungary,100
Israel,India,100
Israel,Indonesia,100
Israel,Ivory Coast,100
Israel,Kazakhstan,100
Israel,Mexico,100
Israel,Nigeria,100
Israel,Philippines,100
Israel,Russia,100
Israel,Singapore,100
Israel,Slovakia,100
Israel,South Korea,100
Israel,Spain,100
Israel,Sri Lanka,100
Israel,Thailand,100
Israel,Uganda,100
Israel,Ukraine,100
Israel,United Kingdom,100
Israel,United States of America,100
Japan,China,100
Netherlands,Denmark,100
Russia,Belarus,100
Russia,Kazakhstan,100
South Africa,Algeria,100
South Africa,United Arab Emirates,100
Sweden,Vietnam,
Sweden,Denmark,100
United States of America,Australia,100
United States of America,Burundi,100
United States of America,Colombia,100
United States of America,Denmark,100
United States of America,Egypt,100
United States of America,Estonia,100
United States of America,France,100
United States of America,Germany,100
United States of America,Iraq,100
United States of America,Italy,100
United States of America,Lebanon,100
United States of America,Netherlands,100
United States of America,New Zealand,100
United States of America,Pakistan,100
United States of America,Panama,100
United States of America,Poland,100
United States of America,Romania,100
United States of America,South Korea,100
United States of America,Uganda,100
United States of America,United Arab Emirates,100
United States of America,United Kingdom,100
