origin,destination
Algeria,Israel
Algeria,South Africa
Angola,Israel
Australia,Israel
Australia,United States of America
Azerbaijan,Israel
Belarus,Russia
Botswana,Israel
Brazil,Israel
Burundi,United States of America
Canada,Israel
Chile,Iran
Chile,Israel
China,Israel
China,Japan
Colombia,Israel
Colombia,United States of America
Croatia,Israel
Denmark,Armenia
Denmark,France
Denmark,United States of America
Ecuador,Israel
Egypt,United States of America
Estonia,United States of America
Ethiopia,Israel
Finland,Israel
France,Canada
France,Israel
France,United States of America
Georgia,Estonia
Georgia,Israel
Germany,Israel
Germany,United States of America
Greece,France
Hungary,Israel
India,Israel
Indonesia,Israel
Iraq,United States of America
Italy,United States of America
Ivory Coast,Israel
Kazakhstan,Israel
Kazakhstan,Russia
Lebanon,United States of America
Mexico,Israel
Netherlands,United States of America
New Zealand,United States of America
Nigeria,Israel
Pakistan,China
Pakistan,United States of America
Panama,United States of America
Philippines,Israel
Poland,United States of America
Romania,United States of America
Russia,Israel
Singapore,Israel
Slovakia,Israel
South Korea,Israel
South Korea,United States of America
Spain,Israel
Sri Lanka,Israel
Thailand,Germany
Thailand,Israel
Turkey,Israel
Uganda,Israel
Uganda,United States of America
Ukraine,Israel
United Arab Emirates,South Africa
United Arab Emirates,United States of America
United Kingdom,Israel
United Kingdom,United States of America
United States of America,Israel
Venezuela,Iran
Vietnam,Sweden
