guid,date,president,field_strike_type,village,province,leader_names,leaders_desc,militants_low,militants_high,civilians_low,civilians_high,unknown_low,unknown_high,total_low,total_high,total_avg,nation_responsible,target,target_org,notes,sources,lat,lon
023 2013,2013-08-29T20:00:00Z,Obama,Drone Strike,Rada'a,Al Bayda,,,4,5,,,,,4,5,5,United States,Building,AQAP,This drone strike was reported by only one source.<br>,Reuters: http://www.reuters.com/article/2013/08/30/us-yemen-drones-idUSBRE97T0GK20130830 ,14.41187,44.836514
022 2013,2013-08-12T00:00:00Z,Obama,Drone Strike,Unknown,Shabwah,,,2,2,,,,,2,2,2,United States,Vehicle,AQAP,This drone strike was reported by only one source.<br>,Reuters: http://www.reuters.com/article/2013/08/13/us-yemen-violence-idUSBRE97C06B20130813,14.75463,46.516262
021 2013,2013-08-10T00:00:00Z,Obama,Drone Strike,el-Askariya,Lahij,,,2,3,,,,,2,3,3,United States,Vehicle,AQAP,The AP reports that this was the first time a drone strike had hit this area of Lahij.,AJE: http://www.aljazeera.com/news/middleeast/2013/08/201381144828115294.html<br><br>AP: http://www.usatoday.com/story/news/world/2013/08/10/suspected-us-drone-strike-kills-2-in-yemen/2639335/<br><br>CNN: http://www.cnn.com/2013/08/10/world/meast/yemen-drone-al-qaeda<br><br>Reuters: http://www.reuters.com/article/2013/08/10/us-yemen-drone-idUSBRE97908C20130810,13.05493,44.87801
020 2013,2013-08-08T00:00:00Z,Obama,Drone Strike,Al Ain,Hadramaut,,,2,4,,,,,2,4,3,United States,Vehicle ,AQAP,,AJE: http://www.aljazeera.com/news/middleeast/2013/08/2013890275614311.html<br><br>AP: http://bigstory.ap.org/article/suspected-us-drone-kills-6-militants-yemen<br><br>BBC: http://www.bbc.co.uk/news/world-middle-east-23620373<br><br> Reuters: http://news.yahoo.com/drone-strikes-kill-eight-suspected-militants-yemen-162502523.html; VOA: http://www.voanews.com/content/suspected-drone-strike-kills-6-in-yemen/1725755.html,16.01009941,47.66859818
019 2013,2013-08-08T00:00:00Z,Obama,Drone Strike,Al Qatn,Hadramaut,,,3,4,,,,,3,4,4,United States,Vehicle ,AQAP,,AJE: http://www.aljazeera.com/news/middleeast/2013/08/2013890275614311.html<br><br>AP: http://bigstory.ap.org/article/suspected-us-drone-kills-6-militants-yemen<br><br>BBC: http://www.bbc.co.uk/news/world-middle-east-23620373<br><br> Reuters: http://news.yahoo.com/drone-strikes-kill-eight-suspected-militants-yemen-162502523.html,15.840861,48.483724
018 2013,2013-08-08T00:00:00Z,Obama,Drone Strike,Wadi Abida,Marib,,,6,7,,,2,2,8,9,9,United States,Vehicle ,AQAP,,BBC: http://www.bbc.co.uk/news/world-middle-east-23620373<br><br>CBS: http://www.cbsnews.com/8301-505263_162-57597532/yemen-al-qaeda-suspects-hit-by-another-reported-u.s-drone-strike/<br><br>CNN: http://www.cnn.com/2013/08/08/world/meast/yemen-drone-strike<br><br>Reuters: http://www.reuters.com/article/2013/08/08/us-drones-yemen-maareb-idUSBRE97705R20130808<br><br>VOA: http://www.voanews.com/content/suspected-drone-strike-kills-6-in-yemen/1725755.html,15.43778709,45.36803894
017 2013,2013-08-07T00:00:00Z,Obama,Drone Strike,Markha,Shabwah,,,5,7,,,,,5,7,6,United States,Vehicle ,AQAP,,AP: http://bigstory.ap.org/article/suspected-us-drone-kills-7-southern-yemen<br><br>Guardian: http://www.theguardian.com/world/2013/aug/07/us-drone-strikes-kill-seven-alleged-al-qaida-yemen<br><br>Post: http://www.washingtonpost.com/world/national-security/us-personnel-evacuated-from-yemen-after-al-qaeda-order-to-attack-is-revealed/2013/08/06/2c984300-fe88-11e2-96a8-d3b921c0924a_story.html<br><br>Reuters: http://www.reuters.com/article/2013/08/07/us-yemen-security-strike-idUSBRE9760C320130807,14.76217539,46.82922058
016 2013,2013-08-06T00:00:00Z,Obama,Drone Strike,Wadi Abida,Marib,Saleh al-Tays al-Waeli; Saleh Ali Guti,Waeli was on a government list of 25 al-Qaeda suspects wanted in connection with an alleged plot to launch a major attack before Ramadan ended and the Muslim Eid al-Fitr feast began,4,4,,,,,4,4,4,United States,Vehicle,AQAP,,AJE: http://www.aljazeera.com/news/middleeast/2013/08/20138652149414517.html<br><br>BBC: http://www.bbc.co.uk/news/world-middle-east-23585923 <br><br>CNN: http://www.cnn.com/2013/08/05/world/yemen-us-drone-strike/index.html<br><br>Dawn: http://dawn.com/news/1034524/us-orders-citizens-to-leave-yemen-amid-al-qaeda-alert<br><br>Reuters: http://www.reuters.com/article/2013/08/06/us-yemen-security-drone-idUSBRE97507620130806 ,15.43778709,45.36803894
015 2013,2013-08-01T00:00:00Z,Obama,Drone Strike,Wadi Ser,Hadramaut,,,3,4,,,,,3,4,4,United States,Vehicle,AQAP,,AFP: http://www.foxnews.com/world/2013/08/01/new-us-drone-strike-in-yemen-as-hadi-to-meet-obama/<br><br>Reuters: http://www.reuters.com/article/2013/08/01/us-yemen-violence-drone-idUSBRE9700QC20130801,15.91006224,48.5663765
014 2013,2013-07-30T00:00:00Z,Obama,Drone Strike,Unknown,Shabwah,,,3,3,,,,,3,3,3,United States,Vehicle,AQAP,,AFP: http://www.foxnews.com/world/2013/08/01/new-us-drone-strike-in-yemen-as-hadi-to-meet-obama/<br><br>Reuters: http://www.reuters.com/article/2013/08/01/us-yemen-violence-drone-idUSBRE9700QC20130801 ,14.57896717,46.87316589
